Nom de l'offre touristique;Type d'offre;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Code Embed pour intégrer une vidéo;Type de plateforme/url;Widget tripadvisor;Secteur d'activité;Labels;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Langues parlées à l'accueil;Appellation pour les vins;Dégustations gratuites: oui / non;Salle équipée pour dégustation: oui / non;Vente à la propriété: oui / non;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langue(s) parlée(s) pendant les visites;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif;Modes de paiement acceptés;localisation;departement
Brasserie associative de Montflours (BAM);Bières;ZA du Mottay;;Route de Sacé;;53240;;MONTFLOURS;;53156;48.1730416;-0.7314723;;;06 01 05 34 56;;;;;;||http://www.brasserie-montflours.fr/;;"Agro-alimentaire;Artisanat / Art";Nature et Progrès;;;;oui;15;8;Français;;;oui;oui;1h;1h;non;oui;non;oui;;oui;Français;non;;oui;||||Sur rendez-vous uniquement||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Cédric Soufflet||06 01 05 34 56||brasserie.montflours@orange.fr;;;oui;Tarif groupe adulte||5,00||5,00||Visite sur RV d'1h avec dégustation;Cartes bancaires,Chèques bancaires et postaux,Espèces;48.1730416, -0.7314723;Mayenne
Château du Bois Huaut;Huile,Vins;;;Le Bois huaut;;44190;;GORGES;;44064;47.1160999;-1.275143;;06 20 09 48 02;02 40 36 10 79;0240542466;duret.famille@wanadoo.fr;https://sites.google.com/site/chateauduboishuaut/home;;;Facebook||https://fr-fr.facebook.com/chateauduboishuaut;;Viticulture;Caves touristiques vignoble de Loire;;oui;;oui;18;1;Espagnol,Français;"Muscadet;Muscadet Sèvre-et-Maine";oui;oui;oui;2 heures;2h;oui;oui;oui;oui;oui;oui;Français;oui;;oui;;;;;oui;Tarif indiv. adulte||||||Visite du domaine, cours d'oenologie et 3 bouteilles offertes par personne;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.1160999, -1.275143;Loire-Atlantique
LA LOUPIOTE;Bières,Biscuit,Confiserie / chocolat,Confiture,Eau,Epices / Condiment,Fromage et produit laitier,Fruits / légumes,Huile,Jouet et jeu,Pain / Pâtisserie,Produits apicoles,Produits cidricoles / Jus de fruit,Produits du terroir (boutique),Rillettes,Sel,Viande,Vins,Volailles / Oeufs;;;14 Rue des Forges;;53360;;HOUSSAY;;53117;47.91493;-0.7349;;;02 49 80 16 28;;laloupiote@yahoo.com;;;;Facebook||https://www.facebook.com/laloupiote53/;;"Agro-alimentaire;Loisirs et activités";;;oui;Les chiens peuvent s'installer dans la cour... Une gamelle les attend si vous le désirez;oui;20;;Anglais,Espagnol,Français;;;;;;;;;;;;;Français,Anglais,Espagnol;;;oui;;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.91493, -0.7349;Mayenne
CONFIDENCES D'AUSSIGOUINS;Vins;6 rue de Briançon;;;;49750;;BELLEVIGNE-EN-LAYON;;49345;47.2952802;-0.573748;;06 61 82 91 79;;;aussigouins@orange.fr;;;;;;Viticulture;;;;;oui;20;;Français;;oui;oui;oui;;;;oui;non;;;oui;Français;non;;oui;;;;;oui;;;47.2952802, -0.573748;Maine-et-Loire
La résidence d'artiste céramiste;Céramique, faïence, émail,Poterie;La Pucelle;;;;72110;;PREVELLES;;72246;48.152352;0.481916;;02 43 71 88 28;;;;;;;;;Artisanat / Art;;;non;;oui;20;;Français;;;;;;;;;;;;;;;Partenariat||DEGPDL072V50F9TE;oui;;||02 43 93 01 95||;;;;;Chèques bancaires et postaux;48.152352, 0.481916;Sarthe
DOMAINE DIDIER DELAUNAY;Vins;;;2 rue des prés;;49610;;MOZE-SUR-LOUET;;49222;47.3573006;-0.5503739;;;02 41 45 34 53;02 41 45 72 93;accueil@didier-delaunay.fr;http://www.didier-delaunay.fr;;;;;Viticulture;Haute valeur environnementale (HVE);;oui;;oui;20;1;Français;"Anjou Blanc;Anjou Rouge;Anjou Villages Brissac;Cabernet d'Anjou;Coteaux de l'Aubance;Coteaux du Layon;Crémant de Loire;Rosé de Loire";oui;non;oui;;;;;oui;;;;Français;oui;;oui;;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.3573006, -0.5503739;Maine-et-Loire
Atelier : Dégustez du vin au chanvre et du fromage dans un chai;Vins;;;3 Lieu-dit Champ Fleury;;44330;;LA REGRIPPIERE;;44140;47.18618;-1.19972;;0638694342;;;maxime.mosaiccompany@gmail.com;www.brumecbd.fr;;;;;Viticulture;;;oui;;oui;20;1;Français;;oui;oui;oui;;;non;oui;non;non;non;oui;Français;non;;oui;01/01/2024||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;||https://wecandoo.fr/atelier/nantes-maxime-degustation-vin-chanvre-fromage||||06 38 69 43 42||maxime.mosaiccompany@gmail.com,||https://wecandoo.fr/atelier/nantes-maxime-assemblage-vin-chanvre||||06 38 69 43 42||maxime.mosaiccompany@gmail.com;oui;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.18618, -1.19972;Loire-Atlantique
Domaine de la Cambuse;Vins;;;La Cambuse;DRAIN;49530;;OREE D'ANJOU;;49069;47.309872;-1.203384;;06 21 04 78 85;02 40 83 91 63;;domainedelacambuse@orange.fr;http://domaine-de-la-cambuse.fr/;;;Facebook||https://www.facebook.com/Domaine-De-La-Cambuse-332215150575902/?__tn__=%2Cd%2CP-R&eid=ARAozLvphyTi62Zyr-VN73xiF68CeNQ--Dr4-6RR-DTkNhMBqa0tS8Y4ylwo98lVSqVz4ztGOQHV_LyB;;Viticulture;Caves touristiques vignoble de Loire;;oui;;oui;25;;Anglais;"Anjou Gamay;Anjou Rouge;Cabernet d'Anjou;Coteaux d'Ancenis;Crémant de Loire;Muscadets communaux;Muscadet Coteaux de la Loire";oui;oui;oui;;;;oui;oui;;;oui;Français;oui;;oui;02/01/2025||31/12/2025||||Fermé le dimanche et les jours fériés||09:00||12:30||14:00||19:00||09:00||12:30||14:00||19:00||09:00||12:30||14:00||19:00||09:00||12:30||14:00||19:00||09:00||12:30||14:00||19:00||09:00||12:30||14:00||18:00||||||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.309872, -1.203384;Maine-et-Loire
CHATEAU LA TOMAZE;Vins;6 bis, rue du Pineau;;;Champ-sur-Layon;49380;;BELLEVIGNE-EN-LAYON;;49345;47.26708;-0.57493;;06 87 84 64 98;02 41 78 86 34;02 41 78 61 60;contact@tomaze.com;http://www.tomaze.com;;;;;Viticulture;Agriculture Biologique (AB),Caves touristiques vignoble de Loire;;oui;;oui;25;;Allemand,Anglais;"Anjou Blanc;Anjou Rouge;Anjou Villages;Cabernet d'Anjou;Coteaux du Layon;Coteaux du Layon avec dénomination géographique;Crémant de Loire;Rosé de Loire";oui;oui;oui;30;45;;oui;non;;oui;oui;Français,Anglais;non;;oui;;;;;oui;;Cartes bancaires;47.26708, -0.57493;Maine-et-Loire
DOMAINE DU SAUVEROY;Vins;;;;Le Sauveroy;49750;;VAL-DU-LAYON;;49292;47.2901613;-0.6464697;;;02 41 78 30 59;;domainesauveroy@sauveroy.fr;http://www.sauveroy.com;https://youtu.be/9MmS-3FWvQA?si=Mr7B83GCoK1Gs49p;"https://youtu.be/9MmS-3FWvQA?si=Mr7B83GCoK1Gs49p<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";Facebook||https://www.facebook.com/domainesauveroy,Instagram||https://www.instagram.com/domaine_sauveroy/;;"Loisirs et activités;Viticulture";Agriculture Biologique (AB),Caves touristiques vignoble de Loire;;oui;;oui;30;;Anglais,Français;"Anjou Blanc;Anjou Rouge;Anjou Villages;Cabernet d'Anjou;Coteaux du Layon;Coteaux du Layon avec dénomination géographique;Crémant de Loire;Rosé de Loire;Savennières";oui;oui;oui;1h30;2h;oui;oui;;oui;oui;oui;Français,Anglais;oui;;oui;;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.2901613, -0.6464697;Maine-et-Loire
Morille-Luneau Vignerons;Vins;;;Domaine de l'Auberdiere;La Chapelle Basse Mer;44450;;DIVATTE-SUR-LOIRE;;44029;47.295333;-1.32397;;;02 40 06 34 09;;contact@morille-luneau.com;http://www.morille-luneau.com;;;;;Viticulture;;;oui;;oui;30;;Anglais,Français;"Muscadet;Muscadet Coteaux de la Loire;Muscadet Sèvre-et-Maine";;;;;;;;;;;;;;;oui;||||Du lundi au samedi de 09h00 à 19h00.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Cartes bancaires;47.295333, -1.32397;Loire-Atlantique
DOMÄNE VINCENDEAU;Vins;;;L'Enclos - 228 Route du Port Godard;Les Lombardières;49190;;ROCHEFORT-SUR-LOIRE;;49259;47.3756569;-0.6423489;;;02 41 57 21 15;02 41 57 21 15;contact@domaenevincendeau.com;http://www.domaenevincendeau.com/;;;Google+||http://plus.google.com/117067497367099455281;;Viticulture;Agriculture Biologique (AB);;oui;;oui;30;;Allemand,Anglais,Français,Italien;"Anjou Blanc;Crémant de Loire;Rosé de Loire";oui;oui;oui;00:30;01:00;oui;oui;non;oui;oui;oui;Français,Allemand,Anglais,Italien;non;;oui;;;;;oui;;Cartes bancaires,Chèques bancaires et postaux;47.3756569, -0.6423489;Maine-et-Loire
EARL CHRISTOPHE BROUARD;Vins;138 rue de la croix verte;;lieu dit La Grotte;;49290;;CHALONNES-SUR-LOIRE;;49063;47.3542133;-0.7673839;;06 32 42 41 78;02 41 66 74 26;;earl.christophebrouard@orange.fr;;;;;;Viticulture;;;;;oui;30;;Français;"Anjou Fines Bulles;Anjou Gamay;Anjou Rouge;Cabernet d'Anjou;Coteaux du Layon;Rosé d'Anjou";oui;oui;oui;;;oui;oui;non;oui;oui;oui;Français;non;;oui;;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.3542133, -0.7673839;Maine-et-Loire
ECHOS NATURE;;;;;;44600;;SAINT-NAZAIRE;;44184;47.27664;-2.24492;;06 86 59 38 90;;;vincent@echosnature.fr;;;;Facebook||https://fr-fr.facebook.com/echosnature.fr/;;"Information et communication;Loisirs et activités";;;;;oui;30;8;Français;;;;;;;oui;;;;oui;;Français;;;;;;;;;Tarif indiv. enfant||||||enfants de 5 à 15 ans;;47.27664, -2.24492;Loire-Atlantique
Atelier boutique MA ferme Ô Grenouilles;Bières,Bijou,Biscuit,Confiserie / chocolat,Confiture,Cosmétique,Décoration d'intérieur,Elevage,Epices / Condiment,Fromage et produit laitier,Huile,Jouet et jeu,Pierre, ardoise / sable,Plantes et fleurs,Produits cidricoles / Jus de fruit,Produits du terroir (boutique),Rillettes,Spiritueux,Textile / Habillement / Chaussure,Viande,Vins,Volailles / Oeufs;;;;L'Etournière;72200;;CROSMIERES;;72110;47.7179117;-0.1403107;;06 24 73 56 04;;;mafermeogrenouilles@gmail.com;;;;Facebook||https://www.facebook.com/61569677925229/photos/122114043824655930/?_rdr;;"Agro-alimentaire;Artisanat / Art;Loisirs et activités";Visitez nos entreprises;;;;oui;40;10;Français;;;;oui;;;;oui;;;;;Français;;;oui;01/01/2025||31/12/2025||Ouvert toute la semaine sur réservation||||||||||||||||||||||||||||||||||||||||15:00||19:00||||||||||||||||,01/01/2025||31/12/2025||Ouvert le vendredi de 15h à 19h et toute la semaine sur réservation||||||||||||||||||||||||||||||||||||||||15:00||19:00||||||||||||||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.7179117, -0.1403107;Sarthe
Domaine de Trémousseau;Vins;;;24 Trémousseau;TREMONT;49310;LYS-HAUT-LAYON;LYS-HAUT-LAYON;;49373;47.15354;-0.43182;;06 28 19 30 83;02 41 59 43 07;;jcchevrier@wanadoo.fr;http://www.domaine-tremousseau.com;;;;;Viticulture;Haute valeur environnementale (HVE);;oui;;oui;45;15;Anglais,Français;"Anjou Gamay;Anjou Rouge;Cabernet d'Anjou;Coteaux du Layon;Rosé de Loire;Saumur Brut;Saumur Rosé";oui;oui;oui;;;;;;;oui;oui;;;;oui;01/01/2024||31/12/2025||||||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||||||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux;47.15354, -0.43182;Maine-et-Loire
La petite fabrique de papier;;;;2, le Vau du Puy;;72340;;CHAHAIGNES;;72052;47.7748379;0.5145116;;06 28 07 11 42;;;nadia.gypteau@gmail.com;https://www.lapetitefabriquedepapier.fr;;;;;Artisanat / Art;Métiers d'art;;;;oui;5;3;Français;;non;non;oui;;1h;non;oui;non;oui;non;non;Français;non;;;;;;;oui;Tarif indiv. adulte||||||Stage 1 jour 75 €, stage 2 jours 150 €;Chèques bancaires et postaux,Espèces,Virement;47.7748379, 0.5145116;Sarthe
Domaine des Varinelles;Vins;;;28 rue du Ruau;;49400;;VARRAINS;;49362;47.22458;-0.06657;;;02 41 52 90 94;;contacts@daheuiller.com;https://www.daheuiller.com;;;Facebook||https://www.facebook.com/domainedesvarinelles;;Viticulture;Accueil Vélo,Agriculture Biologique (AB),Caves touristiques vignoble de Loire,Vigneron Indépendant;;oui;;oui;50;;Anglais,Français;"Crémant de Loire;Saumur;Saumur Blanc;Saumur Champigny";;;oui;;;;;;;;;;;;;01/01/2025||31/12/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;non;Tarif indiv. adulte||3,00||3,00||remboursée en cas d'achat;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.22458, -0.06657;Maine-et-Loire
VOLAILLES - LES VERGERS DE LA ROUERIE;Volailles / Oeufs;;;La Rouérie;;53200;;GENNES-LONGUEFUYE;;53104;47.868433;-0.6101889;;06 77 80 22 03;02 43 70 92 41;;vergersdelarouerie@gmail.com;https://www.vergersdelarouerie.com/;;;Facebook||https://www.facebook.com/vergersdelarouerie;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB),Bienvenue à la Ferme;;non;;oui;50;;Anglais,Français;;non;oui;oui;1h30 à 2h;2h;non;oui;non;oui;non;oui;Français,Anglais;non;;oui;||||||||||||||||||||||||10:00||12:00||14:00||18:00||||||||||14:00||19:00||||||09:00||12:00||||||||||||;Les Vergers de La Rouérie||02 43 70 92 41||samuelruault@hotmail.com;||https://www.vergersdelarouerie.com/les-produits||||||;oui;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.868433, -0.6101889;Mayenne
Poiskaï Sud;Fruits de mer;;;Zone aquacole de Lyarne;Route du Collet;44760;;LES MOUTIERS-EN-RETZ;;44106;47.04268;-1.98875;;;02 51 18 61 49;;opadiou@gmail.com;;;;;;"Agro-alimentaire;Artisanat / Art";;;;tolérés en laisse;oui;50;;;;;oui;oui;;;;;;;;;;;;;01/01/2024||31/12/2024||||||||||||||||||||||||||||||09:00||17:00||||||09:00||17:00||||||09:00||17:00||||||09:00||14:00||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||09:00||17:00||||||09:00||17:00||||||09:00||17:00||||||09:00||14:00||||;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.04268, -1.98875;Loire-Atlantique
DOMAINE DE LA GABETTERIE;Vins;;;10, rue de l'Oratoire;FAVERAYE;49380;THOUARCE;BELLEVIGNE-EN-LAYON;;49345;47.2519242;-0.5004847;;;02 41 54 14 99;02 41 80 04 03;contact@domaine-de-la-gabetterie.fr;;;;Facebook||https://www.facebook.com/gabetterie/;;Viticulture;;;oui;;oui;50;10;Français;;oui;oui;oui;01:00;01:30;oui;oui;;oui;oui;oui;Français;;;oui;||||ouvert tous les jours  9h00-12h00 et 14h00-19h00 ||fermé DIMANCHE et JOURS FERIES           SVP PREVENIR DE PREFERENCE DE VOTRE VISITE||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;Cartes bancaires,Chèques bancaires et postaux;47.2519242, -0.5004847;Maine-et-Loire
Biscuiterie Le Vinaillou;Biscuit;;;Lieu dit le clairay;Les Rosiers-sur-Loire;49350;;GENNES-VAL-DE-LOIRE;;49261;47.382206;-0.214644;;;02 41 67 44 40;;le-vinaillou@live.fr;https://biscuiterie-le-vinaillou.fr/;;;;;Agro-alimentaire;Vignobles et découvertes;;;;oui;50;10;Français;;;;oui;;;oui;oui;;;;;Français;oui;;;15/04/2025||30/09/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;non;;Chèques bancaires et postaux,Espèces;47.382206, -0.214644;Maine-et-Loire
FERME DE L'AUBERDIERE;Glace;;;L'Auberdière;;72120;;MONTAILLE;;72204;47.9509813;0.6678877;;06 48 25 91 59;;;irmafroger@gmail.com;www.fermedelauberdiere.fr;;;;;Agro-alimentaire;Bienvenue à la Ferme;;;;oui;50;20;Allemand,Anglais,Espagnol,Français,Italien;;oui;oui;;;;non;oui;non;;non;non;;non;;oui;;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.9509813, 0.6678877;Sarthe
Bocage Nord Mans;Elevage,Produits cidricoles / Jus de fruit,Volailles / Oeufs;;;;long boyau;72650;;AIGNE;;72001;48.0662583;0.12678032;;0610791942;;;fermedubocagenordmans@gmail.com;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;non;;oui;50;3;Anglais,Français;;;;oui;2h00;;;;;;oui;oui;;;;oui;;;;;;Formule famille||||||50€ / heures de prestation;Chèques bancaires et postaux,Espèces;48.0662583, 0.12678032;Sarthe
Miel de Monsieur Paulouin;Produits apicoles;;;6 Rue de la Moquetterie;;72240;;BERNAY-NEUVY-EN-CHAMPAGNE;;72219;48.0816192;-0.0364224;;06 77 44 02 13;;;michel.paulouin@laposte.net;;;;;;Agriculture / horticulture / Pêche;;;oui;;oui;6;;Anglais,Français;;;non;oui;1 h;1 h;oui;oui;;;oui;oui;Français,Anglais;non;;non;||||toute l'année sur RDV uniquement||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;M.PAULOUIN||06 77 44 02 13||michel.paulouin@laposte.net;;;oui;;;48.0816192, -0.0364224;Sarthe
GAEC Ferme de la Fontaine du Feu;Laine,Produits apicoles,Produits cidricoles / Jus de fruit,Viande,Volailles / Oeufs;;;;La Fontaine du Feu;72550;;CHAUFOUR-NOTRE-DAME;;72073;48.0424481;0.09866183;;06 87 06 87 15;02 43 88 81 16;;lafontainedufeu@gmail.com;http://www.fermedelafontainedufeu.fr/;;;Facebook||http://www.facebook.com/pages/La-Fontaine-du-Feu/502036729815417;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;non;;oui;60;15;Anglais,Français;;non;non;oui;;;;oui;non;non;non;non;Français,Anglais;non;"Proposition clientèle||DEG878000802;Proposition clientèle||";oui;;;;;oui;;Chèques bancaires et postaux,Espèces;48.0424481, 0.09866183;Sarthe
Réauté Chocolat;Confiserie / chocolat;;;1 rue de l'Orgerie - Route d'Angers;Saint-Fort;53200;;CHATEAU-GONTIER-SUR-MAYENNE;;53062;47.8097878;-0.7070761;;;02 43 70 70 92;;visite@reaute-chocolat.fr;http://www.reaute-chocolat.com;;;Instagram||https://www.instagram.com/reautechocolat_officiel/,Facebook||https://www.facebook.com/reautechocolat.officiel;;Agro-alimentaire;Visitez nos entreprises;;non;seulement ceux de petites tailles;oui;60;8;Français;;oui;oui;oui;1h45;1h45;oui;oui;oui;oui;non;oui;Français;oui;;oui;;;;;oui;Tarif indiv. enfant||||||Enfants de 12 à 18 ans,Tarif indiv. enfant||||||Enfants de 3 à 11 ans,Tarif groupe enfant||||||Scolaires, étudiants, centres de loisirs;Cartes bancaires,Chèques bancaires et postaux;47.8097878, -0.7070761;Mayenne
1001 TESSELLES - ATELIER MOSAÏQUE;Céramique, faïence, émail;;;13 Rue Jules Ferry;;53100;;MAYENNE;;53147;48.30197;-0.62138;;06 14 82 48 12;;;mmda1312@gmail.com;;;;Instagram||https://www.instagram.com/1001_tesselles_mayenne/;;Artisanat / Art;Métiers d'art;;non;;oui;8;2;Anglais,Français;;;;;30 mn;30 mn;;oui;non;;oui;oui;Français;oui;;oui;;;;;oui;;Chèques bancaires et postaux,Espèces;48.30197, -0.62138;Mayenne
Produits fermiers et paniers en vente directe - Auberge du Bailleul;Bières,Confiture,Fromage et produit laitier,Fruits / légumes,Huile,Pain / Pâtisserie,Produits apicoles,Produits cidricoles / Jus de fruit,Rillettes,Viande,Volailles / Oeufs;;;3 Le Bailleul;;53120;;HERCE;;53115;48.4177209;-0.8333455;;;02 43 08 65 46;;auberge.du.bailleul@wanadoo.fr;;;;;;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;oui;;oui;90;;Français;;non;;oui;;;;;;;;;;;;oui;01/01/2025||31/12/2025||Réception des commandes le vendredi de 16h à 20h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Sylvie et Jacques Lefeuvre||02 43 08 65 46||;;;oui;;Chèques bancaires et postaux,Espèces;48.4177209, -0.8333455;Mayenne
Atelier Couleurs de Verre;Verre;;;les Ragottières;;72610;;CHERISAY;;72079;48.3492217;0.10397398;Autoroute||A28 sortie 20 rouessé fontaine||7,Gare routière||Alençon||12,Gare SNCF||Alençon||12,Route (nationale/départ.)||D338 Alençon Le Mans||4,Transport en commun||TIS ligne 4 Alençon||4;;09 75 41 01 47;;ateliercouleursdeverre@orange.fr;https://atelier-couleurs-de-verre.fr/;;;;;Artisanat / Art;;;;;oui;8;1;Anglais,Français;;;;oui;;;non;non;oui;non;non;non;Français;oui;;oui;;Mme LEVRARD||09 75 41 01 47||ateliercouleursdeverre@orange.fr;;;oui;;Chèques bancaires et postaux;48.3492217, 0.10397398;Sarthe
Biscuiterie La Sablésienne;Biscuit,Confiserie / chocolat,Confiture,Pain / Pâtisserie;;;1, avenue Jean Monnet;La Denisière;72300;;SABLE-SUR-SARTHE;;72264;47.8317796;-0.3015158;Autoroute||||10,Aéroport/aérodrome||||30,Gare SNCF||Sablé sur Sarthe||2,Halte fluviale||||2;;02 43 95 04 53;02 43 92 27 55;contact@sablesienne.com;https://www.sablesienne.com/fr/;;;Facebook||https://www.facebook.com/La-Sabl%C3%A9sienne-Biscuiterie-depuis-1962-102661258088618,Instagram||https://www.instagram.com/biscuiterie_la_sablesienne/;;Agro-alimentaire;Qualité Tourisme,Visitez nos entreprises;;non;;oui;50;15;Anglais,Français;;oui;oui;oui;;1h;oui;oui;non;oui;;;Français;non;Partenariat||DEGPDL072V503HPV;oui;01/01/2025||31/12/2025||||Dimanche||09:30||12:30||14:00||19:00||09:30||12:30||14:00||19:00||09:30||12:30||14:00||19:00||09:30||12:30||14:00||19:00||09:30||||||19:00||09:30||||||19:00||||||||;||02 43 95 04 53||contact@sablesienne.com;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.8317796, -0.3015158;Sarthe
Domaine Lelais dégustation et vente de vin;Vins;;;41 route de Poncé;Ruillé sur Loir;72340;;LOIR EN VALLÉE;;72262;47.7563028;0.64347264;Autoroute||||40,Gare SNCF||||45;;02 43 79 09 59;;vins@domainelelais.com;http://www.domainelelais.com;https://www.youtube.com/watch?v=7QBnOBmWmiY;;Facebook||https://www.facebook.com/DomaineLelais,Instagram||https://www.instagram.com/domainelelais;;"Loisirs et activités;Viticulture";Caves touristiques excellence,Caves touristiques vignoble de Loire,Vignobles et découvertes;;oui;;oui;70;10;Anglais,Français;"Coteaux du Loir;Jasnières";oui;oui;oui;30 mn;1h30;oui;oui;non;oui;oui;oui;Français,Anglais;non;;oui;01/01/2025||31/03/2025||ouvert du lundi au samedi||Fermé dimanches et jours fériés||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||||||||,01/04/2025||31/10/2025||Ouvert du lundi au dimanche et jours fériés||||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||10:00||12:00||15:00||18:00,01/11/2025||31/12/2025||ouvert du lundi au samedi||Fermé dimanches et jours fériés||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||||||||;;e-Resa||https://paysdelaloire-mb-prestataire.for-system.com/f129567_fr-.aspx||||||;oui;oui;Tarif groupe adulte||4,00||4,00||LE TARIF INCLUT:,-VISITE DE LA CAVE TROGLODYTE,-VISITE DU CHAI,-DEGUSTATION COMMENTEE DES VINS,-TOASTS DE RILLETTE,- DUREE: 1H30,;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;47.7563028, 0.64347264;Sarthe
LES TRESORS DU LAC;Bijou,Céramique, faïence, émail,Cosmétique,Décoration d'intérieur,Maroquinerie,Métal,Peinture,Plantes et fleurs,Textile / Habillement / Chaussure,Travail du bois;;;10 Grand Rue;;44118;;LA CHEVROLIERE;;44041;47.093764;-1.6123212;"Aéroport/aérodrome||Nantes Atlantique ||15,Autoroute||A83||10,Bord de mer||Pornic||40,Route (nationale/départ.)||D65||0,Transport en commun||ALEOP - Arrêt ""Eglise""||0,1";;06 07 53 28 69;;lestresorsdulac.lachevroliere@gmail.com;http://lestresorsdulac.fr;;;;;"Artisanat / Art;Loisirs et activités";;;;;;;;;;;;;;;;;;;;;;;;oui;01/01/2024||31/12/2025||Du mercredi au samedi de 10h à 13h30 et de 15h30 à 18h30 de janvier à octobre et le dimanche matin de 10h à 12h30 en novembre et décembre ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Gaelle ||06 07 53 28 69||lestresorsdulac.lachevroliere@gmail.com;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.093764, -1.6123212;Loire-Atlantique
DE LA PLANCHETTE À LA FOURCHETTE;Fruits / légumes;;;Les Croix;;44140;;MONTBERT;;44102;47.065095;-1.457118;Aéroport/aérodrome||Nantes Atlantique ||30,Autoroute||A83||15;;07 82 67 39 85;;contact@delaplanchettealafourchette.com;https://www.delaplanchettealafourchette.com/;;;;;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;;;;oui;oui;;;;;;;;;Français;;;oui;||||Sur rendez-vous ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.065095, -1.457118;Loire-Atlantique
